date       | count | men_loc(mention+location)
 2017-12-30 |     1 |    AsimBajwaISPRRahim Yar Khan Pakistan
 2017-12-30 |     1 |                         Asad_UmarLahore
 2017-12-30 |     1 |         ArvindKejriwalUttarakhand India
 2017-12-30 |     1 |           ArvindKejriwalBilaspur, India
 2017-12-30 |     1 |            ArchanaDalmiaLudhiana, India
 2017-12-30 |     1 |                   AnushkaSharmaPortugal
 2017-12-30 |     1 |                   AmitShahराजस्थान, भारत
 2017-12-30 |     1 |         AmitShahchandawal nagar , India
 2017-12-30 |     1 |                     AmitShahajit Kumar 
 2017-12-30 |     1 |  AmitShahNawalgarh, jhunjhunu rajasthan
 2017-12-30 |     1 |              AmitShahMaharashtra, India
 2017-12-30 |     1 |                    AmitShahGumia, India
 2017-12-30 |     1 |                        AmitShahFirozabd
 2017-12-30 |     1 |             AmitShahChattisgarh , India
 2017-12-30 |     1 |                  AmitShahBharat (India)
 2017-12-30 |     1 |           AliSohrab007some whr on earth
 2017-12-30 |     1 |                    AliHZaidiPTIpakistan
 2017-12-30 |     1 |                 Ahmad_NooraniIslamabad 
 2017-12-30 |     1 |       AbsarAlamHaiderpeshawar, Pakistan
 2017-12-30 |     1 |             AbidSherAliLahore, Pakistan
 2017-12-30 |     1 |  AamAadmiPartyShahdara New Delhi, India
 2017-12-30 |     1 |               AamAadmiPartySan Jose, CA
 2017-12-30 |     1 |           AamAadmiPartyNew Delhi, Delhi
 2017-12-30 |     1 |                     AamAadmiParty India
 2017-12-30 |     1 |                        ANIsamdari,India
 2017-12-30 |     1 |                             ANIVadodara
 2017-12-30 |     1 |                    ANITamil Nadu, India
 2017-12-30 |     1 |                       ANIPuttur,  India
 2017-12-30 |     1 |                          ANIPune, India
 2017-12-30 |     1 |                          ANIBharat Mata
 2017-12-30 |     1 |                     ANIBengaluru, India
 2017-12-30 |     1 |                  ANIAlways Moving Ahead
 2017-12-30 |     1 |              AMITADAHEUR2hubli, dharwad
 2017-12-30 |     1 |              ABCCardinalCalifornia, USA
 2017-12-30 |     1 |               AAPExpressBilaspur, India
